order_id,order_date,customer,product,category,quantity,price,region
1001,2026-08-20,Ava Moore,Monitor,Electronics,5,320.57,North
1002,2026-09-27,Benjamin Jackson,Desk,Furniture,2,486.58,North
1003,2025-01-26,Michael Davis,Webcam,Accessories,5,84.59,West
1004,2025-04-03,John Smith,Tablet,Electronics,5,639.7,East
1005,2025-05-02,Olivia Miller,Desk,Furniture,4,475.28,East
1006,2025-09-02,John Smith,Chair,Furniture,1,245.54,North
1007,2026-05-06,Olivia Miller,Webcam,Accessories,1,97.18,South
1008,2025-07-14,Sophia Martinez,Keyboard,Accessories,2,81.25,North
1009,2026-12-01,Benjamin Jackson,Tablet,Electronics,2,617.06,North
1010,2026-08-31,Emily Taylor,Tablet,Electronics,1,644.07,East
1011,2026-03-23,Ava Moore,Monitor,Electronics,4,297.74,East
1012,2025-02-09,Emily Taylor,Headphones,Accessories,4,126.8,South
1013,2025-03-07,William Thomas,Mouse,Accessories,1,23.23,North
1014,2025-02-16,Olivia Miller,Mouse,Accessories,3,25.32,South
1015,2026-01-12,Michael Davis,Desk,Furniture,2,485.67,East
1016,2025-12-16,Ava Moore,Mouse,Accessories,1,26.74,South
1017,2026-12-05,Bob Lee,Tablet,Electronics,4,614.18,South
1018,2026-05-07,Daniel Garcia,Webcam,Accessories,1,85.1,South
1019,2026-08-10,James Anderson,Chair,Furniture,2,237.41,West
1020,2025-09-02,Olivia Miller,Keyboard,Accessories,4,80.98,South
1021,2025-12-28,James Anderson,Mouse,Accessories,3,24.33,East
1022,2026-10-26,Benjamin Jackson,Chair,Furniture,1,232.88,South
1023,2025-06-07,Benjamin Jackson,Printer,Electronics,1,228.99,North
1024,2026-10-18,William Thomas,Headphones,Accessories,4,131.58,West
1025,2026-03-01,James Anderson,Headphones,Accessories,5,116.32,East
1026,2025-03-14,Bob Lee,Mouse,Accessories,2,22.61,South
1027,2025-09-09,Sarah Kim,Printer,Electronics,4,234.45,North
1028,2026-12-21,Bob Lee,Tablet,Electronics,3,619.27,East
1029,2026-02-05,Benjamin Jackson,Mouse,Accessories,3,23.26,North
1030,2026-04-27,Ava Moore,Laptop,Electronics,4,1193.66,South
1031,2026-07-18,James Anderson,Headphones,Accessories,2,117.7,East
1032,2026-06-09,David Jones,Printer,Electronics,4,202.02,West
1033,2025-07-19,Benjamin Jackson,Printer,Electronics,1,228.82,East
1034,2026-03-01,James Anderson,Mouse,Accessories,5,24.37,North
1035,2026-10-12,William Thomas,Desk,Furniture,2,414.25,South
1036,2026-09-03,James Anderson,Mouse,Accessories,5,23.94,North
1037,2025-09-15,Emma Wilson,Desk,Furniture,1,413.37,East
1038,2026-10-17,Sophia Martinez,Chair,Furniture,4,255.63,North
1039,2025-12-15,William Thomas,Tablet,Electronics,3,634.23,North
1040,2026-01-03,David Jones,Mouse,Accessories,1,23.04,North
1041,2025-02-17,Sarah Kim,Desk,Furniture,4,449.87,South
1042,2025-12-06,Olivia Miller,Headphones,Accessories,2,112.42,North
1043,2026-03-26,Daniel Garcia,Laptop,Electronics,1,1142.38,North
1044,2026-05-14,John Smith,Webcam,Accessories,3,96.01,South
1045,2026-06-16,William Thomas,Headphones,Accessories,2,114.72,North
1046,2026-07-05,Emma Wilson,Monitor,Electronics,5,292.77,South
1047,2026-09-04,Michael Davis,Chair,Furniture,4,254.58,North
1048,2025-11-30,David Jones,Printer,Electronics,4,208.75,North
1049,2026-08-18,Alice Brown,Tablet,Electronics,5,629.5,West
1050,2025-08-20,Alice Brown,Keyboard,Accessories,2,72.9,West
1051,2026-03-17,Emma Wilson,Headphones,Accessories,1,125.27,East
1052,2025-04-25,Sarah Kim,Headphones,Accessories,5,110.22,East
1053,2026-06-18,John Smith,Tablet,Electronics,5,635.94,South
1054,2026-08-18,Ava Moore,Monitor,Electronics,5,301.41,North
